Year,Ceremony,Award,Winner,Name,Film
1928,1,Actor,,Richard Barthelmess,The Noose
1928,1,Actor,1,Emil Jannings,The Last Command
1928,1,Actress,,Louise Dresser,A Ship Comes In
1928,1,Actress,1,Janet Gaynor,7th Heaven
1928,1,Actress,,Gloria Swanson,Sadie Thompson
1928,1,Art Direction,,Rochus Gliese,Sunrise
1928,1,Art Direction,1,William Cameron Menzies,The Dove; Tempest
1928,1,Art Direction,,Harry Oliver,7th Heaven
1928,1,Cinematography,,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
1928,1,Cinematography,1,Charles Rosher,Sunrise
1928,1,Cinematography,1,Karl Struss,Sunrise
1928,1,Directing (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
1928,1,Directing (Comedy Picture),,Ted Wilde,Speedy
1928,1,Directing (Dramatic Picture),1,Frank Borzage,7th Heaven
1928,1,Directing (Dramatic Picture),,Herbert Brenon,Sorrell and Son
1928,1,Directing (Dramatic Picture),,King Vidor,The Crowd
1928,1,Engineering Effects,1,Roy Pomeroy,Wings
1928,1,Outstanding Picture,,The Caddo Company,The Racket
1928,1,Outstanding Picture,,Fox,7th Heaven
1928,1,Outstanding Picture,1,Paramount Famous Lasky,Wings
1928,1,Unique and Artistic Picture,1,Fox,Sunrise
1928,1,Unique and Artistic Picture,,Metro-Goldwyn-Mayer,The Crowd
1928,1,Unique and Artistic Picture,,Paramount Famous Lasky,Chang
1928,1,Writing (Adaptation),,Alfred Cohn,The Jazz Singer
1928,1,Writing (Adaptation),,Anthony Coldeway,Glorious Betsy
1928,1,Writing (Adaptation),1,Benjamin Glazer,7th Heaven
1928,1,Writing (Original Story),,Lajos Biro,The Last Command
1928,1,Writing (Original Story),1,Ben Hecht,Underworld
1928,1,Writing (Title Writing),,Gerald Duffy,The Private Life of Helen of Troy
1928,1,Special Award,1,Warner Brothers,The Jazz Singer
1928,1,Special Award,1,Charles Chaplin,The Circus
1929,2,Actor,,George Bancroft,Thunderbolt
1929,2,Actor,1,Warner Baxter,In Old Arizona
1929,2,Actor,,Chester Morris,Alibi
1929,2,Actor,,Paul Muni,The Valiant
1929,2,Actor,,Lewis Stone,The Patriot
1929,2,Actress,,Ruth Chatterton,Madame X
1929,2,Actress,,Betty Compson,The Barker
1929,2,Actress,,Jeanne Eagels,The Letter
1929,2,Actress,,Corinne Griffith,The Divine Lady
1929,2,Actress,,Bessie Love,The Broadway Melody
1929,2,Actress,1,Mary Pickford,Coquette
1929,2,Art Direction,,Hans Dreier,The Patriot
1929,2,Art Direction,1,Cedric Gibbons,The Bridge of San Luis Rey
1929,2,Art Direction,,Mitchell Leisen,Dynamite
1929,2,Art Direction,,William Cameron Menzies,Alibi; The Awakening
1929,2,Art Direction,,Harry Oliver,Street Angel
1929,2,Cinematography,,George Barnes,Our Dancing Daughters
1929,2,Cinematography,1,Clyde De Vinna,White Shadows in the South Seas
1929,2,Cinematography,,Arthur Edeson,In Old Arizona
1929,2,Cinematography,,Ernest Palmer,Four Devils; Street Angel
1929,2,Cinematography,,John Seitz,The Divine Lady
1929,2,Directing,,Lionel Barrymore,Madame X
1929,2,Directing,,Harry Beaumont,The Broadway Melody
